epoch,batch,loss,accuracy
1,100,0.5856425519287586,0.800625
1,200,0.5850911162793636,0.79375
1,300,0.5999206832051277,0.799375
1,400,0.5512286047637462,0.8115625
1,500,0.5933993965387344,0.793125
1,600,0.5865777930617333,0.793125
1,700,0.6468075993657112,0.7790625
1,800,0.6181457969546318,0.7871875
1,900,0.5960128384828568,0.7975
1,1000,0.598408582508564,0.7965625
1,1100,0.5997065730392933,0.7946875
1,1200,0.610958356410265,0.7890625
1,1300,0.5853529576957226,0.7965625
1,1400,0.6047178196907044,0.793125
1,1500,0.6140363073348999,0.79375
2,100,0.6049790528416633,0.7928125
2,200,0.6083382558822632,0.799375
2,300,0.5603594698011876,0.8078125
2,400,0.5716924813389778,0.79625
2,500,0.5846302691102028,0.8009375
2,600,0.576920979321003,0.798125
2,700,0.5946126502752304,0.7940625
2,800,0.5605741553008556,0.8121875
2,900,0.5191620568931102,0.818125
2,1000,0.572387974113226,0.804375
2,1100,0.5653105607628822,0.8096875
2,1200,0.578633750975132,0.7965625
2,1300,0.5836890372633934,0.805625
2,1400,0.6062479904294014,0.78625
2,1500,0.5822261810302735,0.8
3,100,0.530889165699482,0.8140625
3,200,0.5541786800324917,0.8096875
3,300,0.5997363068163395,0.7871875
3,400,0.5488309046626091,0.805625
3,500,0.5662120340764523,0.8046875
3,600,0.5464805218577385,0.8109375
3,700,0.5430397922545671,0.81375
3,800,0.5264894936978817,0.8209375
3,900,0.599527857452631,0.788125
3,1000,0.5188579508662223,0.81625
3,1100,0.5648552457243204,0.8090625
3,1200,0.561892063766718,0.813125
3,1300,0.5508190341293812,0.81
3,1400,0.5480226697027684,0.8059375
3,1500,0.5747162245213986,0.8
4,100,0.5338152735680342,0.816875
4,200,0.5571345834434033,0.80375
4,300,0.5477552777528762,0.8059375
4,400,0.5583645285665989,0.8096875
4,500,0.5557487899065018,0.8146875
4,600,0.545421511977911,0.8075
4,700,0.5168933262676001,0.821875
4,800,0.542850112169981,0.8075
4,900,0.5769231505692005,0.80125
4,1000,0.5834410603344441,0.8028125
4,1100,0.559231072217226,0.8028125
4,1200,0.5478176155686378,0.811875
4,1300,0.5404411290585994,0.809375
4,1400,0.5214683114737272,0.81625
4,1500,0.5969615225493908,0.799375
5,100,0.5606635102629661,0.8071875
5,200,0.5620235309004784,0.8109375
5,300,0.5445134289562702,0.82
5,400,0.5366041879355907,0.81625
5,500,0.5817750249803066,0.8034375
5,600,0.5487636154890061,0.808125
5,700,0.5505850295722484,0.81125
5,800,0.5292634384334087,0.8090625
5,900,0.5529780194163323,0.80625
5,1000,0.5457992312312127,0.8115625
5,1100,0.5330625316500663,0.8159375
5,1200,0.5083190038800239,0.823125
5,1300,0.5591974139213562,0.8046875
5,1400,0.5097681783139706,0.824375
5,1500,0.5294599658250809,0.825625